zip,zip3,acquisition_status,adjudicated,pending,terminal,boundary_placement,placed_by_polygon,legacy_membership,confirmed_legacy,over_inclusion_removed,under_inclusion_added
01612,016,ACQUISITION_UNBLOCKED,3,0,0,COMPLETE,1,3,1,2,0
01613,016,ACQUISITION_UNBLOCKED,55,0,0,COMPLETE,0,55,0,55,0
01614,016,ACQUISITION_UNBLOCKED,69,0,0,COMPLETE,0,69,0,69,0
01615,016,ACQUISITION_UNBLOCKED,69,0,0,COMPLETE,0,69,0,69,0
01653,016,ACQUISITION_UNBLOCKED,7,0,0,COMPLETE,0,7,0,7,0
01655,016,ACQUISITION_UNBLOCKED,7,0,0,COMPLETE,0,7,0,7,0
01701,017,ACQUISITION_UNBLOCKED,37,0,0,COMPLETE,19,38,19,19,0
01702,017,ACQUISITION_UNBLOCKED,36,0,0,COMPLETE,26,38,26,12,0
01703,017,ACQUISITION_UNBLOCKED,15,0,0,COMPLETE,0,15,0,15,0
01704,017,ACQUISITION_UNBLOCKED,15,0,0,COMPLETE,0,15,0,15,0
01705,017,ACQUISITION_UNBLOCKED,15,0,0,COMPLETE,0,15,0,15,0
01718,017,ACQUISITION_UNBLOCKED,13,0,0,COMPLETE,1,13,1,12,0
01719,017,ACQUISITION_UNBLOCKED,13,0,0,COMPLETE,6,13,6,7,0
01720,017,ACQUISITION_UNBLOCKED,20,0,0,COMPLETE,8,20,8,12,0
01721,017,ACQUISITION_UNBLOCKED,34,0,0,COMPLETE,11,34,11,23,0
01730,017,ACQUISITION_UNBLOCKED,28,0,0,COMPLETE,12,28,12,16,0
01731,017,ACQUISITION_UNBLOCKED,29,0,0,COMPLETE,0,29,0,29,0
01740,017,ACQUISITION_UNBLOCKED,8,0,0,COMPLETE,5,8,5,3,0
01741,017,ACQUISITION_UNBLOCKED,6,0,0,COMPLETE,1,6,1,5,0
01742,017,ACQUISITION_UNBLOCKED,15,0,0,COMPLETE,10,15,10,5,0
01745,017,ACQUISITION_UNBLOCKED,33,0,0,COMPLETE,3,33,3,30,0
01746,017,ACQUISITION_UNBLOCKED,11,0,0,COMPLETE,6,11,6,5,0
01747,017,ACQUISITION_UNBLOCKED,15,0,0,COMPLETE,2,15,2,13,0
01748,017,ACQUISITION_UNBLOCKED,17,0,0,COMPLETE,21,22,21,1,0
01749,017,ACQUISITION_UNBLOCKED,23,0,0,COMPLETE,12,23,12,11,0
01752,017,ACQUISITION_UNBLOCKED,27,0,0,COMPLETE,20,27,20,7,0
01754,017,ACQUISITION_UNBLOCKED,16,0,0,COMPLETE,4,16,4,12,0
01756,017,ACQUISITION_UNBLOCKED,3,0,0,COMPLETE,1,3,1,2,0
01757,017,ACQUISITION_UNBLOCKED,17,0,0,COMPLETE,14,17,14,3,0
01760,017,ACQUISITION_UNBLOCKED,33,0,0,COMPLETE,20,33,20,13,0
